captured_at,experiment_id,elapsed_seconds,voltage_V,current_mA,power_mW,temperature_C
2026-09-09T13:33:18.385678-07:00,2,7808.152,13.079688,161.4,2111.0528,30.7344
2026-09-09T13:33:19.385842-07:00,2,7809.151,13.079297,157.588,2061.1328,30.7344
2026-09-09T13:33:20.386706-07:00,2,7810.153,13.079688,158.76,2076.5184,30.7344
2026-09-09T13:33:21.386102-07:00,2,7811.152,13.079492,156.856,2051.5712,30.7344
2026-09-09T13:33:22.387969-07:00,2,7812.154,13.078906,153.768,2011.1104,30.7344
2026-09-09T13:33:23.386756-07:00,2,7813.153,13.079102,153.068,2001.9968,30.7344
2026-09-09T13:33:24.389264-07:00,2,7814.155,13.078711,151.46,1980.9024,30.7344
2026-09-09T13:33:25.388036-07:00,2,7815.154,13.078516,149.624,1956.8384,30.7422
2026-09-09T13:33:26.390137-07:00,2,7816.156,13.07832,150.024,1962.048,30.7344
2026-09-09T13:33:27.388750-07:00,2,7817.155,13.078125,149.24,1951.7952,30.7422
2026-09-09T13:33:28.391324-07:00,2,7818.157,13.07793,147.248,1925.7088,30.7422
2026-09-09T13:33:29.390069-07:00,2,7819.156,13.077734,147.148,1924.3392,30.7422
2026-09-09T13:33:30.392605-07:00,2,7820.158,13.077539,146.844,1920.3712,30.7422
2026-09-09T13:33:31.391781-07:00,2,7821.157,13.077539,143.62,1878.1952,30.7422
2026-09-09T13:33:32.393264-07:00,2,7822.159,13.077148,144.664,1891.8016,30.7422
2026-09-09T13:33:33.392599-07:00,2,7823.158,13.077148,144.248,1886.336,30.7422
2026-09-09T13:33:34.393938-07:00,2,7824.16,13.076758,141.844,1854.8608,30.7422
2026-09-09T13:33:35.393148-07:00,2,7825.159,13.076563,140.18,1833.088,30.7422
2026-09-09T13:33:36.394918-07:00,2,7826.161,13.076563,139.116,1819.392,30.7422
2026-09-09T13:33:37.394993-07:00,2,7827.16,13.076172,139.316,1821.6832,30.75
2026-09-09T13:33:38.395944-07:00,2,7828.162,13.075781,137.484,1797.9008,30.75
2026-09-09T13:33:39.395422-07:00,2,7829.161,13.075586,140.096,1831.8208,30.75
2026-09-09T13:33:40.397891-07:00,2,7830.163,13.075586,140.068,1831.4752,30.75
2026-09-09T13:33:41.396415-07:00,2,7831.162,13.075586,141.196,1846.2208,30.75
2026-09-09T13:33:42.397953-07:00,2,7832.164,13.075586,140.616,1838.6432,30.75
2026-09-09T13:33:43.397440-07:00,2,7833.163,13.075586,141.004,1843.6992,30.75
2026-09-09T13:33:44.399942-07:00,2,7834.165,13.075781,142.124,1858.3552,30.75
2026-09-09T13:33:45.397706-07:00,2,7835.164,13.075586,141.66,1852.2752,30.75
2026-09-09T13:33:46.401519-07:00,2,7836.166,13.075391,141.54,1850.688,30.7578
2026-09-09T13:33:47.398767-07:00,2,7837.165,13.075391,143.968,1882.4448,30.7578
2026-09-09T13:33:48.402462-07:00,2,7838.167,13.075586,145.5,1902.5024,30.7578
2026-09-09T13:33:49.400903-07:00,2,7839.166,13.075586,145.952,1908.416,30.7578
